# {"t_start": 1540913569.8193438, "env_id": 0} 
r,l,t
-310.065898,50,53.291158
-300.929971,59,98.421015
-343.323405,56,145.130057
-200.18365,56,197.777666
17.237775,30,223.484685
-21.034708,35,263.747162
-176.442137,44,313.107396
-123.520474,42,353.337859
-339.040138,52,398.054238
-187.257319,46,437.710526
-113.192348,41,468.672977
-72.984142,37,498.166302
-308.949318,50,538.860097
-12.766688,31,583.47039
9.774898,26,638.093553
-21.356556,32,706.572548
16.521988,24,762.941348
20.423078,24,841.663229
22.830688,23,905.942271
19.455803,22,952.905712
18.574078,22,1007.080068
15.643681,23,1054.537027
14.967556,23,1117.330194
16.036491,23,1185.261988
21.8661,22,1247.189245
27.455688,22,1309.608769
27.320433,22,1371.029873
25.209311,21,1431.89262
22.777861,21,1497.578601
26.038156,22,1547.058557
28.762292,20,1588.200136
26.816192,22,1640.538264
25.599868,22,1698.734445
27.884524,23,1736.9972
26.471652,22,1787.102255
25.676413,22,1835.990798
27.602326,21,1884.271701
23.017304,22,1936.619559
24.986279,21,1994.176734
24.390135,22,2045.887381
25.877415,22,2119.734076
25.306502,22,2195.838987
23.999651,23,2264.967835
20.088427,24,2369.863932
23.642112,23,2474.254453
21.719103,24,2581.477282
25.288895,23,2659.136518
24.892013,23,2736.602091
25.842291,23,2812.005785
24.570622,23,2884.622732
25.01371,23,2964.311298
26.214229,23,3043.594325
25.190127,22,3108.037608
-10.726292,30,3186.562742
-39.729748,42,3275.138809
-60.412073,44,3336.336207
-19.734921,41,3430.24174
-27.486884,35,3671.053332
-25.467737,34,3762.084666
-16.896768,35,3861.100043
-24.441079,34,3962.306258
1.007556,29,4058.131838
-25.481066,35,4162.974066
-24.368166,38,4295.9439
